Text,Mood,Confidence
good job,Joy 😊,94.26
what terrible exam,Sadness 😢,79.47
I got selected for my dream job and I am incredibly happy.,Joy 😊,85.49
I lost someone very close to me and I feel empty.,Sadness 😢,95.29
I am extremely frustrated because someone damaged my project.,Sadness 😢,51.0
I am nervous and frightened about what might happen tomorrow.,Fear 😨,98.76
I feel so much love and affection for my family.,Joy 😊,51.51
I opened the door and was completely shocked by what I saw.,Surprise 😲,92.78
that was very difficult,Joy 😊,35.17
it is unreasonable,Joy 😊,42.21
"nice to meet you
",Joy 😊,33.51
"good job
",Joy 😊,49.19
"what a bad day
",Sadness 😢,82.4
"not feeling good
",Joy 😊,96.18
nice day,Sadness 😢,46.25
good job,Joy 😊,94.15
nice day,Sadness 😢,46.25
"that was good, now i feel alive today",Joy 😊,71.98
good job,Joy 😊,94.15
"good job
",Joy 😊,94.15
good job,Joy 😊,94.15
"good job
",Joy 😊,94.15
good job,Joy 😊,94.15
good job,Joy 😊,94.15
"good job
",Joy 😊,94.15
good work,Joy 😊,91.55
